 AISI 304
 AISI 304L
 AISI 316
 AISI 316
 AISI 420
 AISI 630
 AISI 630
 ASTM A105
 ASTM A-106
 ASTM A36
 ASTM A403
 CARBON STEEL
 GG-30
 LATÃO
 NBR
 PVC
 SAE 1020
 SAE 1020
 SAE 1045
 SAE 1070
 SAE 4140
(CECP2334T-4 & CECP2333T-4)
(CECP3665T)
(G)SiC/SiC/SiC/(a)CB
(MOD CODE E-70-A)
(SSIC) - Q1
//1020/4140 VCP/S61L/M906PAF/Z
--/4021/4140 VCP/S66M/M906PAF/P-SM
--/420/4140 VCP/S61L/uNS®100/P-SM
--/4401/4401 100°/S61L/M906PAF/Z STP3
--/4401/4401 90°/S41/--/DBL SEAL no hsgs;sftseal
--/4401/4401 UM90/S45/--/DBL SEAL
/4401/4401 VCP/S61L ADJUSTABLE/Z
/4401/4401/61M ADJUSTABLE/Z NON-PLTD
--/4401/4401/S41/--/DBL SEAL no hsgs;shaft seal
--/4401/4401/S46/UNS100 Q1Q1EGG/P-SM
--/4401/4401/S61L/UNS100/P-SM w/o hsg
+M280
0.5HP 119RPM 14.4
0.6020
0.6020 COD: 90014356
0.6025
0.6025 (GG-25)
0.6025 / RAL7031
0.6025 FORM A
0.6025 RUBBER COATED
0.6025(GG-25)
0.6025/1.4021/U22U22VGG
0.6025/4021/M906PAF
0.6025/4401 VCP
0.6025/4401/4140 VCP/O62L/UNS100/P-SM STP2
0.6025/CrNiMo17-2-2
0.6025/CrNiMo17-2-2/M906PAF
0.6025/EBONITE
0.6025/FPM
0.6025/NEMOLAST®11A
0.6025/NEMOLAST®261
0.6025/NEMOLAST®41
0.6025/NEMOLAST®459
0.6025/NEMOLAST®66M
0.6025; CrNiMo17-12-2
0.6025;CrNiMo17-12-2/chrom;Aramid
0.7040
0.7040/1.4021 chrom/Aramid
0.7040/1.4021vcp/Aramid
0.7040/1.4401
0.7043
0-100 PSI / Ft Water
0-200 PSI / Ft Water
02018ST3QIE256TC-W22 MODIFIED
02518ST3QIE284TC-W22 MODIFIED
0-60 PSI
06020 COD: 90003596
¼” Brass Elbow 90 Degree
¼” x 2” Brass Nipple
½”, Stainless Body,
½”, Stainless Body, Buna Seal, Normally Closed
1.000" SHAFT,184TC; MTG 1
1.0026/vzk.
1.0308
1.0416
1.0503
1.0503 COD:90005022
1.0570
1.0570 / ASTM A36
1.0576
1.0619
1.0718
1.1181
1.1191/1.7147
1.1191/HCP20
1.1200
